name_1,name_2,prediction,token_set_ratio,label,error
mike honda,ro khanna,0.080439754,0.42,0.0,False
xo communications inc,4c communications inc,9.287668e-07,0.92,0.0,False
cristina cachero,cristina cachero castro,0.9865361,1.0,1.0,False
department,deparment,0.99868935,0.95,1.0,False
reliever,releiver,0.99552196,0.88,1.0,False
concern,consern,0.99830866,0.86,1.0,False
oregon hospice association,sharon police association,0.022245392,0.78,0.0,False
around,arround,0.9997437,0.92,1.0,False
officially,offcially,0.99910825,0.95,1.0,False
borden inc,bonner inc,0.19948809,0.7,0.0,False
landmark communications inc,all brand communications inc,0.0036471894,0.84,0.0,False
disappears,dissappears,0.9951653,0.95,1.0,False
sanford d bishop jr,sanford bishop,0.77751815,1.0,1.0,False
tanir ozcelebi,tanir ozcelebi,0.99093527,1.0,1.0,False
district of columbus appleseed center for law and justice,van ginkel joshua,5.5699245e-05,0.05,0.0,False
armco incorporated,mircon incorporated,0.019593062,0.86,0.0,False
asarco incorporated,pamco incorporated,0.006816229,0.86,0.0,False
struggling,stuggling,0.9986115,0.95,1.0,False
womens prison association,nw food processing association,0.029610591,0.61,0.0,False
station,staion,0.99963313,0.92,1.0,False
john conyers,john conyers jr,0.9978517,1.0,1.0,False
ian h jermyn,ian jermyn,0.9966926,1.0,1.0,False
dependency,dependancy,0.9931863,0.9,1.0,False
really,relaly,0.99846506,0.83,1.0,False
obstructed,obstruced,0.99965847,0.95,1.0,False
borje felipe fernandes karlsson,borje karlsson,0.8902066,1.0,1.0,False
convinced,conviced,0.9999233,0.94,1.0,False
new england council inc,dr james jessica squires 58 pepperell road,0.08046208,0.25,0.0,False
fought,faught,0.96359026,0.83,1.0,False
jared polis,joe neguse,0.016829886,0.38,0.0,False
decomposes,decomposits,0.9113897,0.86,1.0,False
slate gorup,guate colors,0.0062614,0.52,0.0,False
accommodating,accomodating,0.995486,0.96,1.0,False
xo communications inc,xo communications llc,0.3168228,0.9,1.0,True
cintas corp,titan corp,0.34346876,0.76,0.0,False
project on government oversight,federation of retired union members forum,0.014861764,0.36,0.0,False
chris hardin,christopher hardin,0.9985814,0.8,1.0,False
kraco enterprises inc,roeco enterprises inc,0.0012240218,0.9,0.0,False
central city opera house association,south carolina cemetery association,0.041182775,0.62,0.0,False
neighborhood,neigborhood,0.9993816,0.96,1.0,False
xo communications inc,co communications inc,2.8277947e-05,0.95,0.0,False
incorporates,incorprates,0.987017,0.96,1.0,False
attention,attension,0.9999267,0.89,1.0,False
